without_featues_usage of traversed tentmap neurons directly with polynomial expantion with delayed input,,,,,,,,
,,,,,,,,
,,,,,,,,
k,testlen=4,5,6,7,8,9,10,
3,4.90E-07,7.30E-07,2.40E-06,7.40E-06,3.40E-04,3.30E-05,NAN,
,,,,,,,,
,,,,,,,,
4,2.11E-04,8.00E-04,1.54E-03,8.20E-07,1.00E-02,4.40E-04,8.70E-04,
,,,,,,,,
,,,,,,,,
5,3.90E-06,4.00E-06,2.20E-05,7.40E-05,1.60E-04,1.50E-04,1.50E+04,
,,,,,,,,
,,,,,,,,
------------------------------,-------------------------------------------------------------------------------------------------------,,,,,,,
,,,,,,,,
"next is the feature extraction to polynomila expantion.... but reduced, less features used. only ener and var used and 1000 train len with logistic map",,,,,,,,
,,,,,,,,
k,10,15,20,30,,,,for 50 it is 1e-1-1e-2 range
3,2.20E-11,5.50E-09,1.70E-06,2.30E-02,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
4,2.50E-11,5.50E-09,3.30E-06,1.70E-02,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
5,2.40E-09,1.50E-06,3.40E-04,3.00E-02,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
now with mackayglass dataset 1000 train len,,,,,,,,
,,,,,,,,
k,testln=10,15,20,30,50,100,,
3,8.30E-05,6.50E-04,9.00E-03,8.00E-03,6.00E-03,2.00E-02,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
4,8.30E-03,1.00E-02,0.3,0.2,0.1,NAN,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
5,9.80E-05,1.00E-03,2.50E-03,1.90E-03,2.00E-02,2.00E-02,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
6,8.60E-05,1.70E-03,3.00E-03,5.00E-03,7.00E-03,3.00E-02,,
